brand,product_links
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/euphoria-men-P164302?skuId=948075&icid2=products grid:p164302:product']"
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/eternity-for-men-P4103?skuId=77891&icid2=products grid:p4103:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/beyond-romance-eau-de-parfum-P448476?skuId=2250900&icid2=products grid:p448476:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/romance-P6463?skuId=397166&icid2=products grid:p6463:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/ralph-lauren-romance-parfum-P471072?skuId=2430007&icid2=products grid:p471072:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/ralph-P9009?skuId=463398&icid2=products grid:p9009:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/romance-ros-P429421?skuId=2039683&icid2=products grid:p429421:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/ralph-lauren-romance-parfum-travel-spray-P471071?skuId=2408508&icid2=products grid:p471071:product']"
"ralph-lauren
","['Ralph Lauren', 'https://www.sephora.com/product/ralph-lauren-polo-blue-eau-de-toilette-travel-spray-P475153?skuId=2471605&icid2=products grid:p475153:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/born-in-roma-P449116?skuId=2249688&icid2=products grid:p449116:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/valentino-voce-viva-eau-de-parfum-P462409?skuId=2370419&icid2=products grid:p462409:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/valentino-rosso-valentino-refillable-lipstick-P479501?skuId=2541886&icid2=products grid:p479501:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/valentino-voce-viva-intensa-eau-de-parfum-P474381?skuId=2465318&icid2=products grid:p474381:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/valentino-donna-yellow-dream-eau-de-parfum-P470063?skuId=2408458&icid2=products grid:p470063:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/valentino-dreamdust-glitter-eyeshadow-P479471?skuId=2543015&icid2=products grid:p479471:product']"
"valentino
","['Valentino', 'https://www.sephora.com/product/valentino-eye2cheek-blush-eyeshadow-P479473?skuId=2542322&icid2=products grid:p479473:product']"
"burberry
","['BURBERRY', 'https://www.sephora.com/product/her-eau-de-parfum-P437631?skuId=2160455&icid2=products grid:p437631:product']"
"burberry
","['BURBERRY', 'https://www.sephora.com/product/burberry-her-eau-de-toilette-P479713?skuId=2544484&icid2=products grid:p479713:product']"
"burberry
","['BURBERRY', 'https://www.sephora.com/product/burberry-her-london-dream-eau-de-parfum-P461140?skuId=2348555&icid2=products grid:p461140:product']"
"burberry
","['BURBERRY', 'https://www.sephora.com/product/her-blossom-eau-de-toilette-P445411?skuId=2219871&icid2=products grid:p445411:product']"
"burberry
","['BURBERRY', 'https://www.sephora.com/product/my-burberry-blush-P421296?skuId=1975580&icid2=products grid:p421296:product']"
